StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,D-ID,D-age,D-gender,D-education,D-ethnicity,D-race,C-type,C-comfort-general,C-comfort-work,Combined-pers_1,Combined-pers_2,Combined-pers_3,Combined-pers_4,Combined-pers_5,Combined-pers_6,Combined-pers_7,Combined-pers_8,Combined-pers_9,Combined-pers_10,Combined-pers_11,Combined-pers_12,Combined-pers_13,Combined-pers_14,Combined-pers_15,Combined-pers_16,Combined-pers_17,Combined-pers_18,Combined-pers_19,Combined-pers_20,Combined-pers_21,Combined-pers_22,Combined-pers_23,Combined-pers_24,Combined-pers_25,Combined-pers_26,Combined-pers_27,PF-0a,PF-0d_First Click,PF-0d_Last Click,PF-0d_Page Submit,PF-0d_Click Count,PF1-Score,PF-1,PF2-Score,PF-2,PF3-Score,PF-3,PF4-Score,PF-4,PF5-Score,PF-5,PF6-Score,PF-6,PF7-Score,PF-7,PF8-Score,PF-8,PF9-Score,PF-9,PF10-Score,PF-10,PF11-Score,PF-11,PF12-Score,PF-12,PF13-Score,PF-13,PF14-Score,PF-14,PF15-Score,PF-15,PF16-Score,PF-16,PF17-Score,PF-17,PF18-Score,PF-18,PF19-Score,PF-19,PF20-Score,PF-20,PF-Total-Correct,PF-Total-Incorrect,PF-Not-Answered,PF-Composite,Big-5_1,Big-5_2,Big-5_3,Big-5_4,Big-5_5,Big-5_6,Big-5_7,Big-5_8,Big-5_9,Big-5_10,Big-5_11,Big-5_12,Big-5_13,Big-5_14,Big-5_15,Big-5_16,Big-5_17,Big-5_18,Big-5_19,Big-5_20,Big-5_21,Big-5_22,Big-5_23,Big-5_24,Big-5_25,Big-5_26,Big-5_27,Big-5_28,Big-5_29,Big-5_30,Big-5_31,Big-5_32,Big-5_33,Big-5_34,Big-5_35,Big-5_36,Big-5_37,Big-5_38,Big-5_39,Big-5_40,Big-5_41,Big-5_42,Big-5_43,Big-5_44,Big-5_45,Big-5_46,Big-5_47,Big-5_48,Big-5_49,Big-5_50,Big-5_51,Big-5_52,Big-5_53,Big-5_54,Big-5_55,Big-5_56,Big-5_57,Big-5_58,Big-5_59,Big-5_60,Extraversion,Agreeableness,Conscientiousness,Negative Emotionality,Open-Mindedness,LOC_1,LOC_2,LOC_3,LOC_4,LOC_5,LOC_6,LOC_7,LOC_8,LOC_9,LOC_10,LOC_11,LOC_12,LOC_13,LOC_14,LOC_15,LOC_16,LOC_17,LOC_18,LOC_19,LOC_20,LOC_21,LOC_22,LOC_23,LOC_24,LOC_25,LOC_26,LOC_27,LOC_28,LOC_29,LOC_30,LOC_31,LOC_32,LOC_33,LOC_34,LOC_35,LOC_36,LOC_37,LOC_38,LOC_39,LOC_40,LOC_Numeric_Score,LOC_Category
6/19/19 6:44,6/19/19 7:05,100,1257,TRUE,6/19/19 7:05,R_2QSS6mGukY8USqK,EN,VASTBTZ,35 - 44,Navy,"Bachelors degree (e.g. BA, BS)",No,White,"Laptop,Desktop,Smartphone",Extremely  comfortable,Extremely  comfortable,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,C,47.671,140.118,180.111,5,Correct,A,Incorrect,B,Correct,B,Incorrect,A,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,1,2,16,0.5,4,3,3,4,3,4,4,2,4,4,2,3,4,2,4,2,3,3,2,3,4,2,2,,2,2,3,2,4,2,2,3,2,2,2,2,2,4,2,4,4,3,4,4,3,4,3,2,3,4,2,4,4,2,2,4,3,2,2,4,44,40,44,29,41,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,Internal
6/19/19 6:44,6/19/19 7:07,100,1333,TRUE,6/19/19 7:07,R_11gQgC3vkqCXSIF,EN,VASTCER,18 - 24,,High school degree or equivalent (e.g. GED),No,White,"Laptop,Desktop,Smartphone",Extremely  comfortable,Somewhat  comfortable,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,C,23.862,173.474,180.013,14,Correct,A,Correct,D,Correct,B,Correct,D,Correct,B,Correct,E,Correct,A,Correct,C,Correct,E,Correct,E,Correct,C,Correct,B,Correct,A,Correct,E,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,13,0,6,13,2,2,1,5,2,4,5,4,3,5,4,4,4,1,4,5,3,4,3,4,4,4,4,4,1,3,4,3,5,2,4,3,4,3,4,3,3,4,2,4,2,4,4,4,1,3,4,1,2,3,2,4,4,1,2,2,2,1,1,4,31,34,46,24,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Internal
6/19/19 6:08,6/19/19 7:08,100,3607,TRUE,6/19/19 7:08,R_wKTMBACcikeQsUx,EN,VASTKW0,25 - 34,Navy,"Bachelors degree (e.g. BA, BS)",No,Black or African American,Desktop,Extremely  comfortable,Extremely  comfortable,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,C,13.706,169.714,180.014,9,Correct,A,Incorrect,A,Correct,B,Incorrect,A,Correct,B,Correct,E,Incorrect,E,Correct,C,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,4,2,12,3.5,4,4,5,4,2,3,4,4,4,5,2,4,4,1,2,4,3,2,3,5,2,3,4,4,2,3,2,4,4,2,4,4,2,1,4,2,3,4,2,4,3,4,4,4,2,3,4,3,4,2,4,4,3,2,2,3,3,4,2,2,33,36,31,23,46,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,Intermediate
6/19/19 6:45,6/19/19 7:08,100,1398,TRUE,6/19/19 7:08,R_1PbI8GTGDn9ysKG,EN,VASTL6X,45 - 54,Army,"Bachelors degree (e.g. BA, BS)",No,White,"Laptop,Desktop",Extremely  comfortable,Somewhat  comfortable,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,C,20.266,168.872,180.111,7,Correct,A,Correct,D,Correct,B,Correct,D,Correct,B,Correct,E,Correct,A,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,6,0,13,6,4,5,4,1,1,5,5,4,2,5,2,4,4,4,4,4,1,4,5,5,4,4,3,4,2,1,2,2,3,1,4,4,3,4,5,2,2,3,2,4,4,3,4,4,1,3,2,2,2,1,3,5,4,2,2,3,3,2,4,3,41,44,41,41,54,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Internal
6/19/19 6:44,6/19/19 7:08,100,1418,TRUE,6/19/19 7:08,R_1DpsAUlAMvVKkc9,EN,VASTZG2,25 - 34,,"Some college, no degree",No,,"Laptop,Desktop,Smartphone",Extremely  comfortable,Extremely  comfortable,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,C,7.947,176.652,180.067,17,Correct,A,Correct,D,Correct,B,Correct,D,Correct,B,Correct,E,Correct,A,Correct,C,Incorrect,A,Correct,E,Correct,C,Correct,B,Correct,A,Correct,E,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,12,1,6,11.75,4,5,4,3,4,2,5,4,4,5,2,3,5,4,4,4,5,3,4,5,2,1,3,2,5,5,5,3,2,1,4,5,2,5,4,4,4,4,4,5,4,5,5,4,2,4,2,4,2,2,4,5,4,4,3,4,4,4,5,5,31,45,37,45,47,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,17,External
6/19/19 6:44,6/19/19 7:09,100,1491,TRUE,6/19/19 7:09,R_3iDQ3oaTUnTu8ra,EN,VAST0MS,25 - 34,Navy,"Masters degree (e.g. MA, MS, MEd)",No,White,Desktop,Extremely  comfortable,Extremely  comfortable,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,C,18.558,96.381,180.014,4,Correct,A,Correct,D,Correct,B,Correct,D,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,3,0,16,3,3,4,2,5,2,5,4,2,4,5,2,3,5,2,5,4,2,4,3,4,5,1,3,4,1,2,4,1,5,2,4,3,3,1,4,2,2,4,1,4,4,5,5,4,1,4,3,2,5,2,2,4,4,1,2,3,2,2,2,4,42,41,49,19,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,Internal
6/19/19 6:44,6/19/19 7:14,100,1788,TRUE,6/19/19 7:14,R_tM7KS1gJXPJJtf3,EN,VAST5KP,25 - 34,,"Some college, no degree",No,White,"Laptop,Smartphone",Extremely  comfortable,Somewhat  comfortable,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,C,11.846,174.014,180.116,9,Correct,A,Incorrect,C,Incorrect,C,Correct,D,Incorrect,C,Correct,E,Incorrect,D,Correct,C,Incorrect,D,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,3,4,11,2,4,4,3,3,3,4,4,3,4,4,2,3,4,2,3,2,2,3,4,3,4,2,3,4,2,2,4,3,4,3,2,4,3,3,3,3,2,3,1,3,3,3,3,4,2,4,2,2,4,3,3,4,4,2,2,3,3,2,2,3,40,45,40,27,40,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,Internal
6/19/19 6:46,6/19/19 7:14,100,1672,TRUE,6/19/19 7:14,R_1M4jMolHobVbCfN,EN,VASTKDO,,,,No,,"Laptop,Desktop,Tablet,Smartphone",Somewhat  comfortable,Somewhat  comfortable,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,E,46.215,137.177,180.116,4,Correct,A,Correct,D,Correct,B,Incorrect,A,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,2,1,16,1.75,1,1,3,4,1,5,5,2,4,5,3,5,4,4,5,3,1,1,5,5,5,2,2,4,1,4,2,4,1,1,3,4,3,3,5,1,5,4,3,5,2,5,4,3,1,1,5,3,2,3,1,4,4,4,5,2,1,4,3,5,34,30,38,40,54,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,Internal
6/19/19 6:48,6/19/19 7:14,100,1565,TRUE,6/19/19 7:14,R_1S8h8Fgsmw0EdwJ,EN,VAST9L7,25 - 34,,"Associate degree (e.g. AA, AS)",No,White,"Laptop,Desktop,Smartphone",Extremely  comfortable,Somewhat  comfortable,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,C,16.657,179.871,180.114,9,Correct,A,Correct,D,Incorrect,C,Correct,D,Correct,B,Correct,E,Incorrect,B,Incorrect,A,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,4,3,12,3.25,4,2,2,4,5,3,4,3,4,4,2,3,4,2,3,2,5,4,4,3,3,2,3,4,2,2,2,3,4,4,2,3,3,4,3,2,2,4,1,3,3,4,4,4,2,3,4,1,2,5,4,4,4,1,4,4,2,2,2,2,38,33,45,28,32,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,9,Intermediate
6/19/19 6:37,6/19/19 7:15,100,2284,TRUE,6/19/19 7:15,R_Wkbod8MqwoUnhyp,EN,VAST6P8,25 - 34,,"Some college, no degree",No,"White,Black or African American","Laptop,Desktop",Extremely  comfortable,Extremely  comfortable,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,C,20.937,134.145,180.115,6,Correct,A,Correct,D,Correct,B,Correct,D,Correct,B,Correct,E,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,5,0,14,5,4,3,2,4,5,3,5,1,3,4,2,4,5,3,4,2,2,3,2,5,4,2,2,4,3,2,3,2,4,1,1,4,4,2,5,2,3,4,1,2,4,4,4,4,1,4,1,2,4,1,1,4,4,1,2,4,3,2,2,4,45,42,49,24,47,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,Intermediate
6/19/19 6:44,6/19/19 7:35,100,3037,TRUE,6/19/19 7:35,R_3kvUHW0gAtMbuWe,EN,,45 - 54,Male,"Bachelors degree (e.g. BA, BS)",Yes,Other,Laptop,Somewhat  comfortable,Somewhat  comfortable,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,C,41.645,151.508,180.115,7,Correct,A,Correct,D,Correct,B,Correct,D,Correct,B,Correct,E,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,5,0,14,5,4,4,2,3,1,4,5,1,5,5,4,2,4,1,5,2,3,5,3,4,4,5,2,4,4,1,1,5,4,4,1,5,5,2,5,3,1,5,1,4,5,3,5,4,1,5,1,1,4,1,3,5,5,1,5,4,4,1,1,5,44,45,53,21,48,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,Intermediate
6/19/19 6:51,6/19/19 7:39,100,2910,TRUE,6/19/19 7:39,R_2X1Bf8GdMDD4OTc,EN,,25 - 34,Male,"Bachelors degree (e.g. BA, BS)",No,White,"Laptop,Desktop,Smartphone",Extremely  comfortable,Extremely  comfortable,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,C,26.7,179.914,180.117,12,Correct,A,Correct,D,Correct,B,Incorrect,E,Correct,B,Correct,E,Correct,A,Correct,C,Incorrect,B,Correct,E,Correct,C,Correct,B,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,9,2,8,8.5,2,5,4,5,4,3,5,4,4,5,2,4,5,4,2,4,2,2,4,4,4,1,4,4,1,2,5,2,4,4,5,4,2,3,4,4,2,4,3,4,2,4,5,4,2,4,2,4,2,1,3,5,2,3,1,2,5,2,2,2,31,50,36,32,44,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Internal
6/19/19 7:19,6/19/19 7:42,100,1409,TRUE,6/19/19 7:42,R_2b3N4FFGUP3zNJf,EN,,45 - 54,Male,"Masters degree (e.g. MA, MS, MEd)",No,White,Laptop,Extremely  comfortable,Extremely  comfortable,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,C,29.695,150.094,180.012,6,Correct,A,Correct,D,Correct,B,Incorrect,C,Correct,B,Incorrect,C,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,3,2,14,2.5,4,4,1,4,3,3,5,2,4,4,2,3,5,2,4,3,4,5,4,4,4,2,1,5,2,2,4,1,4,2,2,4,5,2,4,2,3,5,2,4,4,2,5,4,2,4,2,2,4,2,4,5,5,2,2,4,4,2,2,4,41,46,57,25,47,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,9,Intermediate
6/20/19 6:29,6/20/19 7:56,100,5231,TRUE,6/20/19 7:56,R_WkxPnzM1gCGH8Ot,EN,VASTBNJ,45 - 54,Male,"Bachelors degree (e.g. BA, BS)",Yes,Other,Laptop,Somewhat  comfortable,Somewhat  comfortable,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,C,13.826,178.401,180.015,9,Correct,A,Correct,D,Correct,B,Correct,D,Correct,B,Correct,E,Incorrect,E,Correct,C,Incorrect,B,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,6,2,11,5.5,5,4,1,2,1,5,5,1,5,5,4,2,4,1,5,5,3,5,4,5,2,4,3,4,4,2,3,1,4,1,4,5,4,2,5,3,4,5,2,5,5,4,5,4,1,5,3,1,3,3,3,5,5,1,1,4,4,1,1,5,40,42,56,25,55,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,12,Intermediate
7/17/19 6:35,7/17/19 6:58,100,1421,TRUE,7/17/19 6:59,R_STsZUZrSUq5FBRL,EN,VASTUBX,25 - 34,Male,"Some college, no degree",No,White,"Laptop,Desktop,Smartphone",Extremely  comfortable,Somewhat  comfortable,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,C,24.849,169.032,180.013,8,Correct,A,Correct,D,Correct,B,Correct,D,Correct,B,Correct,E,Correct,A,Correct,C,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,Not Answered,,7,0,12,7,2,3,4,4,2,3,4,5,3,5,2,3,3,2,4,4,2,3,4,4,2,2,2,4,1,2,2,4,4,2,5,4,2,4,5,4,4,3,2,3,3,4,3,4,1,2,3,2,4,3,3,4,3,2,2,3,2,4,2,3,29,37,32,29,49,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Intermediate
